Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Roberta Sá,01/10/2012,07:00:00 PM,01/10/2012,09:00:00 PM,False,Preço: grátis,"UERJ:  Teatro Odylo Costa Filho &#8211; Rua São Francisco Xavier, 524 &#8211; Maracanã",False
Elba Ramalho,01/10/2012,09:00:00 PM,01/10/2012,11:00:00 PM,False,"Preço: balcão 30 meia, plateia 40 meia","Theatro Net - Rua Siqueira Campos, 143, 2º piso - Copacabana",False
Tavinho Moura & Vitor Santana,02/10/2012,07:00:00 PM,02/10/2012,09:00:00 PM,False,Preço: 3 meia,"CCBB - Rua Primeiro de Março, 66 - Centro",False
Orquestra Ouro Negro,02/10/2012,10:00:00 PM,03/10/2012,12:00:00 AM,False,Preço: 30 lista amiga,"Studio RJ &#8211; Av. Vieira Souto,110 &#8211; Ipanema",False
Maurício Lago,02/10/2012,10:00:00 PM,03/10/2012,12:00:00 AM,False,Preço: 10 lista amiga,"Casa da Matriz - Rua Henrique de Novaes, 107 - Botafogo",False
Elba Ramalho,02/10/2012,09:00:00 PM,02/10/2012,11:00:00 PM,False,"Preço: balcão 30 meia, plateia 40 meia","Theatro Net - Rua Siqueira Campos, 143, 2º piso - Copacabana",False
Marcus Vianna & Sagrado Coração da Terra,03/10/2012,07:30:00 PM,03/10/2012,09:30:00 PM,False,"Preço: 22,50 meia","Teatro Rival - Álvaro Alvim, 33 - Cinelândia",False
Gilson Peranzetta (piano) & Mauro Senise (flauta / sax),03/10/2012,12:30:00 PM,03/10/2012,02:30:00 PM,False,Preço: grátis,"Teatro do Sesi &#8211; Av. Graça Aranha, 1 &#8211; Centro",False
João Callado & Soraya Ravenle,03/10/2012,08:00:00 PM,03/10/2012,10:00:00 PM,False,Preço: grátis (senhas distribuídas 20 min antes),"Palácio Tiradentes &#8211; Salão Nobre &#8211; Av. Primeiro de Março, s/no. &#8211; Praça XV - Centro",False
The Ex (Holanda) / Chinese Cookie Poets / Maga Bo,03/10/2012,09:00:00 PM,03/10/2012,11:00:00 PM,False,Preço: 40 antecipado,"Teatro Odisséia - Rua Mem de Sá, 66 - Lapa",False
Orquestra Imperial,03/10/2012,09:00:00 PM,03/10/2012,11:00:00 PM,False,"Preço: 20 meia balcão, 25 meia plateia","Espaço Tom Jobim - Rua Jardim Botânico, 1008 - Jardim Botânico",False
Lucas Santtana,04/10/2012,07:00:00 PM,04/10/2012,09:00:00 PM,False,"Preço: grátis, senhas distribuídas uma hora antes","Auditório BNDES - Av. República do Chile, 100 - Centro",False
Go East Orkestar,04/10/2012,10:00:00 PM,05/10/2012,12:00:00 AM,False,Preço: 20 lista amiga,"Studio RJ &#8211; Av. Vieira Souto,110 &#8211; Ipanema",False
